TIME,NAME,CHANNEL,TUBE,SIGNAL
0.0697706,Wild Fly,2,1,92.0779
0.130316,GSS Female,3,1,127.533
0.138605,Wild Fly,2,2,94.5388
0.199259,GSS Female,3,2,143.92
0.208152,Wild Fly,2,3,88.3634
0.269926,GSS Female,3,3,140.41
0.278104,Wild Fly,2,4,92.9496
0.338811,GSS Female,3,4,137.127
0.347192,Wild Fly,2,5,95.3722
0.408195,GSS Female,3,5,140.59
0.416357,Wild Fly,2,6,92.939
0.477439,GSS Female,3,6,148.036
0.485864,Wild Fly,2,7,93.9468
0.546402,GSS Female,3,7,139.611
0.555234,Wild Fly,2,8,114.657
0.615961,GSS Female,3,8,133.631
1.19062,Wild Fly,2,1,92.0779
1.25082,GSS Female,3,1,128.579
1.25877,Wild Fly,2,2,96.7121
1.31905,GSS Female,3,2,150.614
1.32737,Wild Fly,2,3,89.379
1.38845,GSS Female,3,3,144.633
1.3966,Wild Fly,2,4,92.9496
1.45731,GSS Female,3,4,139.304
1.46537,Wild Fly,2,5,94.2884
1.52621,GSS Female,3,5,143.809
1.53424,Wild Fly,2,6,89.841
1.59452,GSS Female,3,6,150.181
1.6027,Wild Fly,2,7,98.1222
1.66368,GSS Female,3,7,140.66
1.67236,Wild Fly,2,8,114.657
1.73361,GSS Female,3,8,132.587
2.30742,Wild Fly,2,1,92.0779
2.36854,GSS Female,3,1,132.76
2.37644,Wild Fly,2,2,115.185
2.43679,GSS Female,3,2,159.54
2.44533,Wild Fly,2,3,102.583
2.50571,GSS Female,3,3,150.967
2.51395,Wild Fly,2,4,95.0864
2.57416,GSS Female,3,4,141.48
2.58234,Wild Fly,2,5,94.2884
2.6432,GSS Female,3,5,148.102
2.65115,Wild Fly,2,6,89.841
2.71184,GSS Female,3,6,153.399
2.72007,Wild Fly,2,7,102.298
2.78069,GSS Female,3,7,142.76
2.78912,Wild Fly,2,8,115.975
2.84985,GSS Female,3,8,132.587
3.42472,Wild Fly,2,1,93.1363
3.48533,GSS Female,3,1,136.942
3.49334,Wild Fly,2,2,130.398
3.55376,GSS Female,3,2,169.581
3.56223,Wild Fly,2,3,115.786
3.62282,GSS Female,3,3,159.413
3.63087,Wild Fly,2,4,99.3599
3.69222,GSS Female,3,4,143.657
3.70038,Wild Fly,2,5,94.2884
3.76085,GSS Female,3,5,153.468
3.76898,Wild Fly,2,6,91.9063
3.82942,GSS Female,3,6,157.69
3.83802,Wild Fly,2,7,109.605
3.89867,GSS Female,3,7,141.71
3.90733,Wild Fly,2,8,123.882
3.96836,GSS Female,3,8,130.499
