TIME,NAME,CHANNEL,TUBE,SIGNAL
0.130316,Wild Fly,2,1,98.6415
0.628957,Wild Fly,2,1,98.6968
1.1276,Wild Fly,2,1,98.7525
1.62624,Wild Fly,2,1,98.8086
2.12488,Wild Fly,2,1,98.8651
2.62352,Wild Fly,2,1,98.922
3.12216,Wild Fly,2,1,98.9793
3.6208,Wild Fly,2,1,99.037
4.11944,Wild Fly,2,1,99.0952
4.61809,Wild Fly,2,1,99.1538
5.11673,Wild Fly,2,1,99.2129
5.61537,Wild Fly,2,1,99.2724
6.11401,Wild Fly,2,1,99.3324
6.61265,Wild Fly,2,1,99.3929
7.11129,Wild Fly,2,1,99.4538
7.60993,Wild Fly,2,1,99.5152
8.10857,Wild Fly,2,1,99.5772
8.60721,Wild Fly,2,1,99.6396
9.10585,Wild Fly,2,1,99.7026
9.6045,Wild Fly,2,1,99.766
10.1031,Wild Fly,2,1,99.83
10.6018,Wild Fly,2,1,99.8946
11.1004,Wild Fly,2,1,99.9597
11.5991,Wild Fly,2,1,100.025
12.0977,Wild Fly,2,1,100.092
12.5963,Wild Fly,2,1,100.158
13.095,Wild Fly,2,1,100.226
13.5936,Wild Fly,2,1,100.294
14.0923,Wild Fly,2,1,100.363
14.5909,Wild Fly,2,1,100.432
15.0895,Wild Fly,2,1,100.502
15.5882,Wild Fly,2,1,100.573
16.0868,Wild Fly,2,1,100.644
16.5855,Wild Fly,2,1,100.716
17.0841,Wild Fly,2,1,100.789
17.5828,Wild Fly,2,1,100.862
18.0814,Wild Fly,2,1,100.937
18.58,Wild Fly,2,1,101.012
19.0787,Wild Fly,2,1,101.087
19.5773,Wild Fly,2,1,101.164
20.076,Wild Fly,2,1,101.241
20.5746,Wild Fly,2,1,101.32
21.0732,Wild Fly,2,1,101.399
21.5719,Wild Fly,2,1,101.479
22.0705,Wild Fly,2,1,101.56
22.5692,Wild Fly,2,1,101.642
23.0678,Wild Fly,2,1,101.724
23.5664,Wild Fly,2,1,101.808
24.0651,Wild Fly,2,1,101.893
24.5637,Wild Fly,2,1,101.979
25.0624,Wild Fly,2,1,102.066
25.561,Wild Fly,2,1,102.154
26.0597,Wild Fly,2,1,102.243
26.5583,Wild Fly,2,1,102.334
27.0569,Wild Fly,2,1,102.425
27.5556,Wild Fly,2,1,102.518
28.0542,Wild Fly,2,1,102.612
28.5529,Wild Fly,2,1,102.707
29.0515,Wild Fly,2,1,102.804
29.5501,Wild Fly,2,1,102.902
30.0488,Wild Fly,2,1,103.002
30.5474,Wild Fly,2,1,103.103
31.0461,Wild Fly,2,1,103.206
31.5447,Wild Fly,2,1,103.31
32.0433,Wild Fly,2,1,103.416
32.542,Wild Fly,2,1,103.524
33.0406,Wild Fly,2,1,103.634
33.5393,Wild Fly,2,1,103.745
34.0379,Wild Fly,2,1,103.859
34.5365,Wild Fly,2,1,103.974
35.0352,Wild Fly,2,1,104.092
35.5338,Wild Fly,2,1,104.211
36.0325,Wild Fly,2,1,104.333
36.5311,Wild Fly,2,1,104.458
37.0298,Wild Fly,2,1,104.585
37.5284,Wild Fly,2,1,104.714
38.027,Wild Fly,2,1,104.846
38.5257,Wild Fly,2,1,104.981
39.0243,Wild Fly,2,1,105.12
39.523,Wild Fly,2,1,105.261
40.0216,Wild Fly,2,1,105.405
40.5202,Wild Fly,2,1,105.553
41.0189,Wild Fly,2,1,105.705
41.5175,Wild Fly,2,1,105.86
42.0162,Wild Fly,2,1,106.02
42.5148,Wild Fly,2,1,106.183
43.0134,Wild Fly,2,1,106.352
43.5121,Wild Fly,2,1,106.525
44.0107,Wild Fly,2,1,106.703
44.5094,Wild Fly,2,1,106.887
45.008,Wild Fly,2,1,107.076
45.5067,Wild Fly,2,1,107.272
46.0053,Wild Fly,2,1,107.474
46.5039,Wild Fly,2,1,107.684
47.0026,Wild Fly,2,1,107.901
47.5012,Wild Fly,2,1,108.126
47.9999,Wild Fly,2,1,108.361
48.4985,Wild Fly,2,1,108.605
48.9971,Wild Fly,2,1,108.859
49.4958,Wild Fly,2,1,109.125
49.9944,Wild Fly,2,1,109.404
50.4931,Wild Fly,2,1,109.697
50.9917,Wild Fly,2,1,110.004
51.4903,Wild Fly,2,1,110.329
51.989,Wild Fly,2,1,110.673
52.4876,Wild Fly,2,1,111.038
52.9863,Wild Fly,2,1,111.427
53.4849,Wild Fly,2,1,111.843
53.9835,Wild Fly,2,1,112.291
54.4822,Wild Fly,2,1,112.774
54.9808,Wild Fly,2,1,113.3
55.4795,Wild Fly,2,1,113.877
55.9781,Wild Fly,2,1,114.513
56.4768,Wild Fly,2,1,115.222
56.9754,Wild Fly,2,1,116.022
57.474,Wild Fly,2,1,116.938
57.9727,Wild Fly,2,1,118.007
58.4713,Wild Fly,2,1,119.282
58.97,Wild Fly,2,1,120.855
59.4686,Wild Fly,2,1,122.886
0.130316,GSS Female,3,1,129.674
0.628957,GSS Female,3,1,130.762
1.1276,GSS Female,3,1,131.803
1.62624,GSS Female,3,1,132.8
2.12488,GSS Female,3,1,133.755
2.62352,GSS Female,3,1,134.669
3.12216,GSS Female,3,1,135.544
3.6208,GSS Female,3,1,136.382
4.11944,GSS Female,3,1,137.185
4.61809,GSS Female,3,1,137.953
5.11673,GSS Female,3,1,138.688
5.61537,GSS Female,3,1,139.392
6.11401,GSS Female,3,1,140.066
6.61265,GSS Female,3,1,140.712
7.11129,GSS Female,3,1,141.33
7.60993,GSS Female,3,1,141.921
8.10857,GSS Female,3,1,142.487
8.60721,GSS Female,3,1,143.029
9.10585,GSS Female,3,1,143.548
9.6045,GSS Female,3,1,144.045
10.1031,GSS Female,3,1,144.521
10.6018,GSS Female,3,1,144.976
11.1004,GSS Female,3,1,145.412
11.5991,GSS Female,3,1,145.829
12.0977,GSS Female,3,1,146.229
12.5963,GSS Female,3,1,146.611
13.095,GSS Female,3,1,146.977
13.5936,GSS Female,3,1,147.328
14.0923,GSS Female,3,1,147.663
14.5909,GSS Female,3,1,147.985
15.0895,GSS Female,3,1,148.292
15.5882,GSS Female,3,1,148.586
16.0868,GSS Female,3,1,148.868
16.5855,GSS Female,3,1,149.138
17.0841,GSS Female,3,1,149.396
17.5828,GSS Female,3,1,149.643
18.0814,GSS Female,3,1,149.88
18.58,GSS Female,3,1,150.106
19.0787,GSS Female,3,1,150.323
19.5773,GSS Female,3,1,150.53
20.076,GSS Female,3,1,150.729
20.5746,GSS Female,3,1,150.919
21.0732,GSS Female,3,1,151.101
21.5719,GSS Female,3,1,151.275
22.0705,GSS Female,3,1,151.442
22.5692,GSS Female,3,1,151.602
23.0678,GSS Female,3,1,151.755
23.5664,GSS Female,3,1,151.901
24.0651,GSS Female,3,1,152.041
24.5637,GSS Female,3,1,152.175
25.0624,GSS Female,3,1,152.303
25.561,GSS Female,3,1,152.426
26.0597,GSS Female,3,1,152.544
26.5583,GSS Female,3,1,152.656
27.0569,GSS Female,3,1,152.764
27.5556,GSS Female,3,1,152.867
28.0542,GSS Female,3,1,152.966
28.5529,GSS Female,3,1,153.06
29.0515,GSS Female,3,1,153.151
29.5501,GSS Female,3,1,153.237
30.0488,GSS Female,3,1,153.32
30.5474,GSS Female,3,1,153.399
31.0461,GSS Female,3,1,153.475
31.5447,GSS Female,3,1,153.548
32.0433,GSS Female,3,1,153.617
32.542,GSS Female,3,1,153.684
33.0406,GSS Female,3,1,153.748
33.5393,GSS Female,3,1,153.809
34.0379,GSS Female,3,1,153.867
34.5365,GSS Female,3,1,153.923
35.0352,GSS Female,3,1,153.977
35.5338,GSS Female,3,1,154.028
36.0325,GSS Female,3,1,154.077
36.5311,GSS Female,3,1,154.124
37.0298,GSS Female,3,1,154.169
37.5284,GSS Female,3,1,154.212
38.027,GSS Female,3,1,154.253
38.5257,GSS Female,3,1,154.292
39.0243,GSS Female,3,1,154.33
39.523,GSS Female,3,1,154.366
40.0216,GSS Female,3,1,154.4
40.5202,GSS Female,3,1,154.434
41.0189,GSS Female,3,1,154.465
41.5175,GSS Female,3,1,154.495
42.0162,GSS Female,3,1,154.524
42.5148,GSS Female,3,1,154.552
43.0134,GSS Female,3,1,154.579
43.5121,GSS Female,3,1,154.604
44.0107,GSS Female,3,1,154.629
44.5094,GSS Female,3,1,154.652
45.008,GSS Female,3,1,154.674
45.5067,GSS Female,3,1,154.696
46.0053,GSS Female,3,1,154.716
46.5039,GSS Female,3,1,154.736
47.0026,GSS Female,3,1,154.754
47.5012,GSS Female,3,1,154.772
47.9999,GSS Female,3,1,154.789
48.4985,GSS Female,3,1,154.806
48.9971,GSS Female,3,1,154.821
49.4958,GSS Female,3,1,154.837
49.9944,GSS Female,3,1,154.851
50.4931,GSS Female,3,1,154.865
50.9917,GSS Female,3,1,154.878
51.4903,GSS Female,3,1,154.891
51.989,GSS Female,3,1,154.903
52.4876,GSS Female,3,1,154.914
52.9863,GSS Female,3,1,154.925
53.4849,GSS Female,3,1,154.936
53.9835,GSS Female,3,1,154.946
54.4822,GSS Female,3,1,154.956
54.9808,GSS Female,3,1,154.965
55.4795,GSS Female,3,1,154.974
55.9781,GSS Female,3,1,154.982
56.4768,GSS Female,3,1,154.991
56.9754,GSS Female,3,1,154.998
57.474,GSS Female,3,1,155.006
57.9727,GSS Female,3,1,155.013
58.4713,GSS Female,3,1,155.02
58.97,GSS Female,3,1,155.026
59.4686,GSS Female,3,1,155.033
0.199259,Wild Fly,2,2,92.3888
0.6979,Wild Fly,2,2,97.4057
1.19654,Wild Fly,2,2,102.669
1.69518,Wild Fly,2,2,108.183
2.19382,Wild Fly,2,2,113.954
2.69246,Wild Fly,2,2,119.987
3.1911,Wild Fly,2,2,126.286
3.68974,Wild Fly,2,2,132.855
4.18838,Wild Fly,2,2,139.699
4.68703,Wild Fly,2,2,146.82
5.18567,Wild Fly,2,2,154.222
5.68431,Wild Fly,2,2,161.907
6.18295,Wild Fly,2,2,169.877
6.68159,Wild Fly,2,2,178.135
7.18023,Wild Fly,2,2,186.681
7.67887,Wild Fly,2,2,195.516
8.17751,Wild Fly,2,2,204.64
8.67615,Wild Fly,2,2,214.053
9.17479,Wild Fly,2,2,223.755
9.67343,Wild Fly,2,2,233.744
10.1721,Wild Fly,2,2,244.018
10.6707,Wild Fly,2,2,254.576
11.1694,Wild Fly,2,2,265.414
11.668,Wild Fly,2,2,276.53
12.1666,Wild Fly,2,2,287.919
12.6653,Wild Fly,2,2,299.579
13.1639,Wild Fly,2,2,311.503
13.6626,Wild Fly,2,2,323.688
14.1612,Wild Fly,2,2,336.127
14.6598,Wild Fly,2,2,348.815
15.1585,Wild Fly,2,2,361.746
15.6571,Wild Fly,2,2,374.914
16.1558,Wild Fly,2,2,388.31
16.6544,Wild Fly,2,2,401.928
17.153,Wild Fly,2,2,415.761
17.6517,Wild Fly,2,2,429.8
18.1503,Wild Fly,2,2,444.037
18.649,Wild Fly,2,2,458.465
19.1476,Wild Fly,2,2,473.073
19.6462,Wild Fly,2,2,487.854
20.1449,Wild Fly,2,2,502.798
20.6435,Wild Fly,2,2,517.896
21.1422,Wild Fly,2,2,533.14
21.6408,Wild Fly,2,2,548.518
22.1394,Wild Fly,2,2,564.022
22.6381,Wild Fly,2,2,579.643
23.1367,Wild Fly,2,2,595.37
23.6354,Wild Fly,2,2,611.195
24.134,Wild Fly,2,2,627.106
24.6327,Wild Fly,2,2,643.095
25.1313,Wild Fly,2,2,659.152
25.6299,Wild Fly,2,2,675.268
