TIME,NAME,CHANNEL,TUBE,SIGNAL
0.0712191,Wild Fly,2,1,104.778
0.13826,GSS Female,3,1,129.624
0.152483,Wild Fly,2,2,95.6255
0.219551,GSS Female,3,2,132.764
0.23471,Wild Fly,2,3,95.4731
0.301895,GSS Female,3,3,136.187
0.315243,Wild Fly,2,4,101.497
0.376037,GSS Female,3,4,133.862
0.38433,Wild Fly,2,5,94.2884
0.445041,GSS Female,3,5,127.711
0.453286,Wild Fly,2,6,88.8083
0.514199,GSS Female,3,6,133.018
0.522753,Wild Fly,2,7,90.8152
0.58401,GSS Female,3,7,129.114
0.592753,Wild Fly,2,8,114.657
0.654258,GSS Female,3,8,128.411
1.22956,Wild Fly,2,1,91.0196
1.28958,GSS Female,3,1,130.669
1.29751,Wild Fly,2,2,93.4522
1.35785,GSS Female,3,2,132.764
1.36634,Wild Fly,2,3,88.3634
1.4269,GSS Female,3,3,137.243
1.43498,Wild Fly,2,4,98.2915
1.49539,GSS Female,3,4,145.833
1.50357,Wild Fly,2,5,92.1209
1.56435,GSS Female,3,5,134.15
1.57222,Wild Fly,2,6,88.8083
1.63254,GSS Female,3,6,138.381
1.6416,Wild Fly,2,7,89.7714
1.70213,GSS Female,3,7,132.263
1.71082,Wild Fly,2,8,114.657
1.77152,GSS Female,3,8,129.455
2.34529,Wild Fly,2,1,92.0779
2.40634,GSS Female,3,1,134.851
2.41422,Wild Fly,2,2,93.4522
2.47548,GSS Female,3,2,137.226
2.48388,Wild Fly,2,3,88.3634
2.54424,GSS Female,3,3,140.41
2.5524,Wild Fly,2,4,112.181
2.6131,GSS Female,3,4,156.716
2.62125,Wild Fly,2,5,93.2047
2.68245,GSS Female,3,5,139.516
2.69045,Wild Fly,2,6,88.8083
2.75139,GSS Female,3,6,141.599
2.75991,Wild Fly,2,7,94.9906
2.82106,GSS Female,3,7,134.362
2.82957,Wild Fly,2,8,115.975
2.89044,GSS Female,3,8,130.499
3.46595,Wild Fly,2,1,91.0196
3.52685,GSS Female,3,1,137.987
