TIME,NAME,CHANNEL,TUBE,SIGNAL
0.13826,Wild Fly,2,1,92.249
0.637787,Wild Fly,2,1,92.6164
1.13731,Wild Fly,2,1,92.9521
1.63684,Wild Fly,2,1,93.2618
2.13637,Wild Fly,2,1,93.5493
2.6359,Wild Fly,2,1,93.818
3.13542,Wild Fly,2,1,94.0704
3.63495,Wild Fly,2,1,94.3085
4.13448,Wild Fly,2,1,94.5341
4.63401,Wild Fly,2,1,94.7483
5.13353,Wild Fly,2,1,94.9526
5.63306,Wild Fly,2,1,95.1478
6.13259,Wild Fly,2,1,95.3348
6.63211,Wild Fly,2,1,95.5143
7.13164,Wild Fly,2,1,95.6869
7.63117,Wild Fly,2,1,95.8533
8.1307,Wild Fly,2,1,96.0139
8.63022,Wild Fly,2,1,96.1691
9.12975,Wild Fly,2,1,96.3194
9.62928,Wild Fly,2,1,96.465
10.1288,Wild Fly,2,1,96.6063
10.6283,Wild Fly,2,1,96.7435
11.1279,Wild Fly,2,1,96.877
11.6274,Wild Fly,2,1,97.0068
12.1269,Wild Fly,2,1,97.1334
12.6264,Wild Fly,2,1,97.2567
13.126,Wild Fly,2,1,97.3771
13.6255,Wild Fly,2,1,97.4947
14.125,Wild Fly,2,1,97.6095
14.6245,Wild Fly,2,1,97.7218
15.1241,Wild Fly,2,1,97.8317
15.6236,Wild Fly,2,1,97.9393
16.1231,Wild Fly,2,1,98.0446
16.6227,Wild Fly,2,1,98.1479
17.1222,Wild Fly,2,1,98.2491
17.6217,Wild Fly,2,1,98.3485
18.1212,Wild Fly,2,1,98.446
18.6208,Wild Fly,2,1,98.5417
19.1203,Wild Fly,2,1,98.6358
19.6198,Wild Fly,2,1,98.7282
20.1193,Wild Fly,2,1,98.819
20.6189,Wild Fly,2,1,98.9084
21.1184,Wild Fly,2,1,98.9963
21.6179,Wild Fly,2,1,99.0828
22.1175,Wild Fly,2,1,99.168
22.617,Wild Fly,2,1,99.2519
23.1165,Wild Fly,2,1,99.3345
23.616,Wild Fly,2,1,99.4159
24.1156,Wild Fly,2,1,99.4962
24.6151,Wild Fly,2,1,99.5753
25.1146,Wild Fly,2,1,99.6533
25.6141,Wild Fly,2,1,99.7303
26.1137,Wild Fly,2,1,99.8062
26.6132,Wild Fly,2,1,99.8812
27.1127,Wild Fly,2,1,99.9552
27.6123,Wild Fly,2,1,100.028
28.1118,Wild Fly,2,1,100.1
28.6113,Wild Fly,2,1,100.172
29.1108,Wild Fly,2,1,100.242
29.6104,Wild Fly,2,1,100.312
30.1099,Wild Fly,2,1,100.38
30.6094,Wild Fly,2,1,100.448
31.1089,Wild Fly,2,1,100.516
31.6085,Wild Fly,2,1,100.582
32.108,Wild Fly,2,1,100.648
32.6075,Wild Fly,2,1,100.713
33.1071,Wild Fly,2,1,100.777
33.6066,Wild Fly,2,1,100.841
34.1061,Wild Fly,2,1,100.904
34.6056,Wild Fly,2,1,100.966
35.1052,Wild Fly,2,1,101.028
35.6047,Wild Fly,2,1,101.089
36.1042,Wild Fly,2,1,101.149
36.6037,Wild Fly,2,1,101.209
37.1033,Wild Fly,2,1,101.269
37.6028,Wild Fly,2,1,101.328
38.1023,Wild Fly,2,1,101.386
38.6019,Wild Fly,2,1,101.444
39.1014,Wild Fly,2,1,101.501
39.6009,Wild Fly,2,1,101.557
40.1004,Wild Fly,2,1,101.614
40.6,Wild Fly,2,1,101.669
41.0995,Wild Fly,2,1,101.725
41.599,Wild Fly,2,1,101.779
42.0985,Wild Fly,2,1,101.834
42.5981,Wild Fly,2,1,101.888
43.0976,Wild Fly,2,1,101.941
43.5971,Wild Fly,2,1,101.994
44.0967,Wild Fly,2,1,102.047
44.5962,Wild Fly,2,1,102.099
45.0957,Wild Fly,2,1,102.15
45.5952,Wild Fly,2,1,102.202
46.0948,Wild Fly,2,1,102.253
46.5943,Wild Fly,2,1,102.303
47.0938,Wild Fly,2,1,102.353
47.5933,Wild Fly,2,1,102.403
48.0929,Wild Fly,2,1,102.453
48.5924,Wild Fly,2,1,102.502
49.0919,Wild Fly,2,1,102.551
49.5915,Wild Fly,2,1,102.599
50.091,Wild Fly,2,1,102.647
50.5905,Wild Fly,2,1,102.695
51.09,Wild Fly,2,1,102.742
51.5896,Wild Fly,2,1,102.789
52.0891,Wild Fly,2,1,102.836
52.5886,Wild Fly,2,1,102.883
53.0881,Wild Fly,2,1,102.929
53.5877,Wild Fly,2,1,102.975
54.0872,Wild Fly,2,1,103.02
54.5867,Wild Fly,2,1,103.065
55.0863,Wild Fly,2,1,103.11
55.5858,Wild Fly,2,1,103.155
56.0853,Wild Fly,2,1,103.199
56.5848,Wild Fly,2,1,103.244
57.0844,Wild Fly,2,1,103.287
57.5839,Wild Fly,2,1,103.331
58.0834,Wild Fly,2,1,103.374
58.5829,Wild Fly,2,1,103.417
59.0825,Wild Fly,2,1,103.46
59.582,Wild Fly,2,1,103.503
0.13826,GSS Female,3,1,142.42
0.637787,GSS Female,3,1,142.515
1.13731,GSS Female,3,1,142.611
1.63684,GSS Female,3,1,142.708
2.13637,GSS Female,3,1,142.806
2.6359,GSS Female,3,1,142.906
3.13542,GSS Female,3,1,143.007
3.63495,GSS Female,3,1,143.11
4.13448,GSS Female,3,1,143.214
4.63401,GSS Female,3,1,143.319
5.13353,GSS Female,3,1,143.426
5.63306,GSS Female,3,1,143.534
6.13259,GSS Female,3,1,143.644
6.63211,GSS Female,3,1,143.755
7.13164,GSS Female,3,1,143.868
7.63117,GSS Female,3,1,143.982
8.1307,GSS Female,3,1,144.098
8.63022,GSS Female,3,1,144.216
9.12975,GSS Female,3,1,144.335
9.62928,GSS Female,3,1,144.456
10.1288,GSS Female,3,1,144.579
10.6283,GSS Female,3,1,144.703
