TIME,NAME,CHANNEL,TUBE,SIGNAL
0.0703488,Wild Fly,2,1,93.1363
0.131344,GSS Female,3,1,123.352
0.139767,Wild Fly,2,2,96.7121
0.20077,GSS Female,3,2,131.648
0.210808,Wild Fly,2,3,89.379
0.278011,GSS Female,3,3,128.797
0.291895,Wild Fly,2,4,95.0864
0.359994,GSS Female,3,4,132.774
0.374039,Wild Fly,2,5,96.456
0.440779,GSS Female,3,5,137.37
0.454524,Wild Fly,2,6,92.939
0.521449,GSS Female,3,6,138.381
0.535561,Wild Fly,2,7,98.1222
0.603421,GSS Female,3,7,132.263
0.617911,Wild Fly,2,8,118.611
0.684026,GSS Female,3,8,126.323
1.25971,Wild Fly,2,1,93.1363
1.3208,GSS Female,3,1,128.579
1.32885,Wild Fly,2,2,95.6255
1.38998,GSS Female,3,2,138.342
1.39841,Wild Fly,2,3,89.379
1.45933,GSS Female,3,3,133.02
1.4675,Wild Fly,2,4,98.2915
1.52831,GSS Female,3,4,139.304
1.53692,Wild Fly,2,5,95.3722
1.59726,GSS Female,3,5,142.736
1.60526,Wild Fly,2,6,91.9063
1.66662,GSS Female,3,6,141.599
1.67503,Wild Fly,2,7,104.385
1.73579,GSS Female,3,7,134.362
1.74476,Wild Fly,2,8,122.565
1.80546,GSS Female,3,8,129.455
2.38076,Wild Fly,2,1,94.1947
2.44129,GSS Female,3,1,134.851
2.44959,Wild Fly,2,2,96.7121
2.51002,GSS Female,3,2,142.805
2.51833,Wild Fly,2,3,91.4104
2.57967,GSS Female,3,3,135.132
2.58792,Wild Fly,2,4,103.633
2.64889,GSS Female,3,4,143.657
2.65702,Wild Fly,2,5,96.456
2.71828,GSS Female,3,5,148.102
2.72629,Wild Fly,2,6,92.939
2.78693,GSS Female,3,6,144.818
2.79508,Wild Fly,2,7,108.561
2.85558,GSS Female,3,7,135.412
2.86417,Wild Fly,2,8,127.836
2.92475,GSS Female,3,8,132.587
3.5002,Wild Fly,2,1,95.253
3.56104,GSS Female,3,1,139.032
3.56888,Wild Fly,2,2,97.7988
3.63065,GSS Female,3,2,145.036
3.63897,Wild Fly,2,3,93.4417
3.70033,GSS Female,3,3,138.299
3.70848,Wild Fly,2,4,107.907
3.76892,GSS Female,3,4,149.098
3.77701,Wild Fly,2,5,95.3722
3.8381,GSS Female,3,5,152.395
3.84599,Wild Fly,2,6,93.9716
3.90686,GSS Female,3,6,145.89
3.91519,Wild Fly,2,7,111.692
3.97617,GSS Female,3,7,136.462
3.9851,Wild Fly,2,8,135.743
4.04659,GSS Female,3,8,134.675
4.62033,Wild Fly,2,1,97.3698
4.68053,GSS Female,3,1,141.123
4.68877,Wild Fly,2,2,101.059
4.75006,GSS Female,3,2,147.267
4.75868,Wild Fly,2,3,96.4887
4.81923,GSS Female,3,3,138.299
4.82775,Wild Fly,2,4,113.249
4.88825,GSS Female,3,4,153.452
4.89651,Wild Fly,2,5,96.456
4.95721,GSS Female,3,5,154.541
4.96542,Wild Fly,2,6,91.9063
5.02582,GSS Female,3,6,149.108
5.03519,Wild Fly,2,7,112.736
5.09573,GSS Female,3,7,136.462
5.10451,Wild Fly,2,8,138.379
5.16545,GSS Female,3,8,139.895
5.74025,Wild Fly,2,1,98.4281
5.80125,GSS Female,3,1,143.214
5.80939,Wild Fly,2,2,105.405
5.87062,GSS Female,3,2,148.383
5.87892,Wild Fly,2,3,100.551
5.93921,GSS Female,3,3,139.354
5.94765,Wild Fly,2,4,116.454
6.00777,GSS Female,3,4,157.805
6.01601,Wild Fly,2,5,95.3722
6.07691,GSS Female,3,5,156.688
6.08507,Wild Fly,2,6,90.8736
6.14603,GSS Female,3,6,149.108
6.15454,Wild Fly,2,7,113.78
6.21546,GSS Female,3,7,136.462
6.22429,Wild Fly,2,8,144.969
6.28491,GSS Female,3,8,144.071
6.86049,Wild Fly,2,1,100.545
6.92145,GSS Female,3,1,146.35
6.93004,Wild Fly,2,2,108.665
6.99073,GSS Female,3,2,150.614
6.99934,Wild Fly,2,3,101.567
7.06003,GSS Female,3,3,141.466
7.06832,Wild Fly,2,4,122.864
7.12937,GSS Female,3,4,158.893
7.13762,Wild Fly,2,5,95.3722
7.19872,GSS Female,3,5,158.834
7.20714,Wild Fly,2,6,92.939
7.26741,GSS Female,3,6,150.181
7.27589,Wild Fly,2,7,114.824
7.33675,GSS Female,3,7,136.462
7.34575,Wild Fly,2,8,150.24
7.4063,GSS Female,3,8,147.203
7.9812,Wild Fly,2,1,101.603
8.04203,GSS Female,3,1,148.44
8.04995,Wild Fly,2,2,110.839
8.11037,GSS Female,3,2,153.961
8.11901,Wild Fly,2,3,102.583
8.1799,GSS Female,3,3,139.354
8.1882,Wild Fly,2,4,127.138
8.24903,GSS Female,3,4,165.423
8.25731,Wild Fly,2,5,96.456
8.31815,GSS Female,3,5,160.98
8.32637,Wild Fly,2,6,91.9063
8.3874,GSS Female,3,6,151.254
8.3959,Wild Fly,2,7,116.912
8.4575,GSS Female,3,7,136.462
8.46615,Wild Fly,2,8,156.83
8.5267,GSS Female,3,8,153.467
9.10331,Wild Fly,2,1,102.662
9.16415,GSS Female,3,1,149.486
9.17247,Wild Fly,2,2,114.099
9.23334,GSS Female,3,2,155.077
9.24208,Wild Fly,2,3,104.614
9.30319,GSS Female,3,3,143.577
9.31138,Wild Fly,2,4,130.343
9.37206,GSS Female,3,4,169.776
9.38056,Wild Fly,2,5,96.456
9.44106,GSS Female,3,5,163.127
9.44926,Wild Fly,2,6,92.939
9.51028,GSS Female,3,6,152.327
9.51869,Wild Fly,2,7,116.912
9.57945,GSS Female,3,7,137.511
9.58824,Wild Fly,2,8,164.737
9.64966,GSS Female,3,8,160.774
10.2266,Wild Fly,2,1,104.778
10.2872,GSS Female,3,1,152.622
10.2956,Wild Fly,2,2,116.272
10.3563,GSS Female,3,2,158.424
10.365,Wild Fly,2,3,104.614
10.4264,GSS Female,3,3,143.577
10.4348,Wild Fly,2,4,137.822
10.4956,GSS Female,3,4,177.394
10.504,Wild Fly,2,5,96.456
10.5646,GSS Female,3,5,165.273
10.5728,Wild Fly,2,6,93.9716
10.6341,GSS Female,3,6,153.399
10.6428,Wild Fly,2,7,117.955
10.7033,GSS Female,3,7,137.511
10.7123,Wild Fly,2,8,170.009
10.7723,GSS Female,3,8,167.038
11.3488,Wild Fly,2,1,107.953
11.4104,GSS Female,3,1,153.667
11.4185,Wild Fly,2,2,119.532
11.4799,GSS Female,3,2,159.54
11.4885,Wild Fly,2,3,105.63
11.5492,GSS Female,3,3,144.633
11.5574,Wild Fly,2,4,143.164
11.6179,GSS Female,3,4,183.924
11.627,Wild Fly,2,5,97.5397
11.6875,GSS Female,3,5,167.42
11.6956,Wild Fly,2,6,90.8736
11.7568,GSS Female,3,6,154.472
11.7652,Wild Fly,2,7,120.043
11.8262,GSS Female,3,7,137.511
11.835,Wild Fly,2,8,179.234
11.8961,GSS Female,3,8,176.434
12.4727,Wild Fly,2,1,107.953
12.5335,GSS Female,3,1,156.803
12.5417,Wild Fly,2,2,121.705
12.6023,GSS Female,3,2,162.887
12.6109,Wild Fly,2,3,106.645
12.6719,GSS Female,3,3,144.633
12.68,Wild Fly,2,4,151.711
12.7411,GSS Female,3,4,189.366
12.7493,Wild Fly,2,5,97.5397
12.8103,GSS Female,3,5,170.639
12.8186,Wild Fly,2,6,93.9716
12.8801,GSS Female,3,6,155.545
12.8882,Wild Fly,2,7,117.955
12.9492,GSS Female,3,7,140.66
12.958,Wild Fly,2,8,188.459
13.0191,GSS Female,3,8,185.83
13.5946,Wild Fly,2,1,110.07
13.6562,GSS Female,3,1,159.939
13.6643,Wild Fly,2,2,123.878
13.7254,GSS Female,3,2,166.234
13.7338,Wild Fly,2,3,106.645
13.7944,GSS Female,3,3,142.522
13.8029,Wild Fly,2,4,159.19
13.8627,GSS Female,3,4,198.072
13.871,Wild Fly,2,5,99.7073
13.9321,GSS Female,3,5,173.859
13.9403,Wild Fly,2,6,91.9063
14.0012,GSS Female,3,6,155.545
14.0097,Wild Fly,2,7,120.043
14.0705,GSS Female,3,7,136.462
14.0793,Wild Fly,2,8,193.731
14.1403,GSS Female,3,8,197.314
14.7149,Wild Fly,2,1,111.129
14.7753,GSS Female,3,1,162.03
14.7839,Wild Fly,2,2,126.052
14.8453,GSS Female,3,2,169.581
14.8539,Wild Fly,2,3,107.661
14.9144,GSS Female,3,3,145.689
14.9226,Wild Fly,2,4,163.463
14.9838,GSS Female,3,4,205.69
14.9922,Wild Fly,2,5,101.875
15.0532,GSS Female,3,5,176.005
15.0612,Wild Fly,2,6,91.9063
15.1217,GSS Female,3,6,156.618
15.1302,Wild Fly,2,7,120.043
15.1913,GSS Female,3,7,139.611
15.2002,Wild Fly,2,8,204.274
15.261,GSS Female,3,8,209.842
15.8358,Wild Fly,2,1,112.187
15.8966,GSS Female,3,1,165.166
15.9048,Wild Fly,2,2,128.225
15.9657,GSS Female,3,2,174.043
15.9744,Wild Fly,2,3,108.677
16.0345,GSS Female,3,3,145.689
16.0428,Wild Fly,2,4,172.01
16.1033,GSS Female,3,4,214.397
16.1115,Wild Fly,2,5,101.875
16.1725,GSS Female,3,5,181.371
16.1807,Wild Fly,2,6,92.939
16.2415,GSS Female,3,6,156.618
16.2499,Wild Fly,2,7,121.087
16.311,GSS Female,3,7,139.611
16.3202,Wild Fly,2,8,213.499
16.3809,GSS Female,3,8,223.414
16.9559,Wild Fly,2,1,114.304
17.0166,GSS Female,3,1,167.257
17.0249,Wild Fly,2,2,131.485
17.0854,GSS Female,3,2,176.275
17.094,Wild Fly,2,3,108.677
17.1547,GSS Female,3,3,146.744
17.163,Wild Fly,2,4,180.557
17.2235,GSS Female,3,4,220.927
17.2317,Wild Fly,2,5,106.21
17.2921,GSS Female,3,5,184.591
17.3008,Wild Fly,2,6,92.939
17.3617,GSS Female,3,6,156.618
17.37,Wild Fly,2,7,121.087
17.431,GSS Female,3,7,139.611
17.4399,Wild Fly,2,8,221.407
17.5007,GSS Female,3,8,238.03
18.0746,Wild Fly,2,1,115.362
18.1359,GSS Female,3,1,171.438
18.1438,Wild Fly,2,2,132.572
18.2041,GSS Female,3,2,179.622
18.2127,Wild Fly,2,3,109.692
18.2735,GSS Female,3,3,146.744
18.2819,Wild Fly,2,4,186.968
18.3427,GSS Female,3,4,237.251
18.3512,Wild Fly,2,5,106.21
18.4118,GSS Female,3,5,188.884
18.4204,Wild Fly,2,6,92.939
18.4815,GSS Female,3,6,157.69
18.4901,Wild Fly,2,7,122.131
18.5508,GSS Female,3,7,139.611
18.5599,Wild Fly,2,8,231.95
18.6204,GSS Female,3,8,255.778
19.1949,Wild Fly,2,1,117.479
19.2558,GSS Female,3,1,173.529
19.264,Wild Fly,2,2,134.745
19.3249,GSS Female,3,2,184.084
19.3336,Wild Fly,2,3,110.708
19.3941,GSS Female,3,3,148.856
19.4024,Wild Fly,2,4,197.651
19.4628,GSS Female,3,4,248.134
19.4722,Wild Fly,2,5,109.461
19.5327,GSS Female,3,5,193.177
19.541,Wild Fly,2,6,92.939
19.6015,GSS Female,3,6,157.69
19.6101,Wild Fly,2,7,121.087
19.6707,GSS Female,3,7,140.66
19.6796,Wild Fly,2,8,242.493
19.741,GSS Female,3,8,272.481
20.316,Wild Fly,2,1,117.479
20.3765,GSS Female,3,1,176.665
20.3847,Wild Fly,2,2,138.005
20.4452,GSS Female,3,2,188.547
20.4538,Wild Fly,2,3,109.692
20.5146,GSS Female,3,3,147.8
20.523,Wild Fly,2,4,205.13
20.5837,GSS Female,3,4,262.282
20.5921,Wild Fly,2,5,110.545
20.653,GSS Female,3,5,198.543
20.6612,Wild Fly,2,6,92.939
20.7225,GSS Female,3,6,156.618
20.7313,Wild Fly,2,7,121.087
20.7915,GSS Female,3,7,140.66
20.8004,Wild Fly,2,8,253.036
20.861,GSS Female,3,8,292.317
21.4365,Wild Fly,2,1,120.654
21.497,GSS Female,3,1,180.846
21.5053,Wild Fly,2,2,142.352
21.5662,GSS Female,3,2,196.357
21.5751,Wild Fly,2,3,109.692
21.6357,GSS Female,3,3,147.8
21.6441,Wild Fly,2,4,213.677
21.7044,GSS Female,3,4,275.342
21.7127,Wild Fly,2,5,113.796
21.7735,GSS Female,3,5,204.982
21.7818,Wild Fly,2,6,92.939
21.8427,GSS Female,3,6,158.763
21.8512,Wild Fly,2,7,122.131
21.9123,GSS Female,3,7,141.71
21.9213,Wild Fly,2,8,266.215
21.9821,GSS Female,3,8,315.285
22.5586,Wild Fly,2,1,122.771
