TIME,NAME,CHANNEL,TUBE,SIGNAL
0.131344,Wild Fly,2,1,99.1084
0.63106,Wild Fly,2,1,99.3283
1.13078,Wild Fly,2,1,99.5544
1.63049,Wild Fly,2,1,99.7868
2.13021,Wild Fly,2,1,100.026
2.62992,Wild Fly,2,1,100.271
3.12964,Wild Fly,2,1,100.523
3.62935,Wild Fly,2,1,100.783
4.12907,Wild Fly,2,1,101.049
4.62878,Wild Fly,2,1,101.323
5.1285,Wild Fly,2,1,101.604
5.62822,Wild Fly,2,1,101.893
6.12793,Wild Fly,2,1,102.191
6.62765,Wild Fly,2,1,102.496
7.12736,Wild Fly,2,1,102.81
7.62708,Wild Fly,2,1,103.133
8.12679,Wild Fly,2,1,103.464
8.62651,Wild Fly,2,1,103.805
9.12622,Wild Fly,2,1,104.155
9.62594,Wild Fly,2,1,104.515
10.1257,Wild Fly,2,1,104.885
10.6254,Wild Fly,2,1,105.266
11.1251,Wild Fly,2,1,105.656
11.6248,Wild Fly,2,1,106.058
12.1245,Wild Fly,2,1,106.471
12.6242,Wild Fly,2,1,106.895
13.1239,Wild Fly,2,1,107.331
13.6237,Wild Fly,2,1,107.779
14.1234,Wild Fly,2,1,108.24
14.6231,Wild Fly,2,1,108.713
15.1228,Wild Fly,2,1,109.199
15.6225,Wild Fly,2,1,109.699
16.1222,Wild Fly,2,1,110.213
16.622,Wild Fly,2,1,110.741
17.1217,Wild Fly,2,1,111.284
17.6214,Wild Fly,2,1,111.841
18.1211,Wild Fly,2,1,112.415
18.6208,Wild Fly,2,1,113.004
19.1205,Wild Fly,2,1,113.609
19.6203,Wild Fly,2,1,114.231
20.12,Wild Fly,2,1,114.871
20.6197,Wild Fly,2,1,115.528
21.1194,Wild Fly,2,1,116.203
21.6191,Wild Fly,2,1,116.898
22.1188,Wild Fly,2,1,117.611
22.6185,Wild Fly,2,1,118.344
23.1183,Wild Fly,2,1,119.098
23.618,Wild Fly,2,1,119.872
24.1177,Wild Fly,2,1,120.668
24.6174,Wild Fly,2,1,121.486
25.1171,Wild Fly,2,1,122.327
25.6168,Wild Fly,2,1,123.191
26.1166,Wild Fly,2,1,124.079
26.6163,Wild Fly,2,1,124.992
27.116,Wild Fly,2,1,125.93
27.6157,Wild Fly,2,1,126.894
28.1154,Wild Fly,2,1,127.885
28.6151,Wild Fly,2,1,128.903
29.1148,Wild Fly,2,1,129.949
29.6146,Wild Fly,2,1,131.025
30.1143,Wild Fly,2,1,132.13
30.614,Wild Fly,2,1,133.266
31.1137,Wild Fly,2,1,134.434
31.6134,Wild Fly,2,1,135.633
32.1131,Wild Fly,2,1,136.867
32.6129,Wild Fly,2,1,138.134
33.1126,Wild Fly,2,1,139.437
33.6123,Wild Fly,2,1,140.775
34.112,Wild Fly,2,1,142.151
34.6117,Wild Fly,2,1,143.565
35.1114,Wild Fly,2,1,145.018
35.6112,Wild Fly,2,1,146.511
36.1109,Wild Fly,2,1,148.046
36.6106,Wild Fly,2,1,149.624
37.1103,Wild Fly,2,1,151.245
37.61,Wild Fly,2,1,152.911
38.1097,Wild Fly,2,1,154.623
38.6094,Wild Fly,2,1,156.383
39.1092,Wild Fly,2,1,158.191
39.6089,Wild Fly,2,1,160.05
40.1086,Wild Fly,2,1,161.96
40.6083,Wild Fly,2,1,163.923
41.108,Wild Fly,2,1,165.94
41.6077,Wild Fly,2,1,168.013
42.1075,Wild Fly,2,1,170.143
42.6072,Wild Fly,2,1,172.331
43.1069,Wild Fly,2,1,174.58
43.6066,Wild Fly,2,1,176.89
44.1063,Wild Fly,2,1,179.264
44.606,Wild Fly,2,1,181.702
45.1057,Wild Fly,2,1,184.205
45.6055,Wild Fly,2,1,186.776
46.1052,Wild Fly,2,1,189.416
46.6049,Wild Fly,2,1,192.124
47.1046,Wild Fly,2,1,194.903
47.6043,Wild Fly,2,1,197.752
48.104,Wild Fly,2,1,200.671
48.6038,Wild Fly,2,1,203.659
49.1035,Wild Fly,2,1,206.715
49.6032,Wild Fly,2,1,209.837
50.1029,Wild Fly,2,1,213.019
50.6026,Wild Fly,2,1,216.257
51.1023,Wild Fly,2,1,219.542
51.6021,Wild Fly,2,1,222.865
52.1018,Wild Fly,2,1,226.21
52.6015,Wild Fly,2,1,229.561
53.1012,Wild Fly,2,1,232.897
53.6009,Wild Fly,2,1,236.192
54.1006,Wild Fly,2,1,239.418
54.6003,Wild Fly,2,1,242.543
55.1001,Wild Fly,2,1,245.532
55.5998,Wild Fly,2,1,248.353
56.0995,Wild Fly,2,1,250.975
56.5992,Wild Fly,2,1,253.374
57.0989,Wild Fly,2,1,255.531
57.5986,Wild Fly,2,1,257.44
58.0984,Wild Fly,2,1,259.1
58.5981,Wild Fly,2,1,260.522
59.0978,Wild Fly,2,1,261.723
59.5975,Wild Fly,2,1,262.723
0.131344,GSS Female,3,1,137.843
0.63106,GSS Female,3,1,138.212
1.13078,GSS Female,3,1,138.597
1.63049,GSS Female,3,1,138.997
2.13021,GSS Female,3,1,139.414
2.62992,GSS Female,3,1,139.848
3.12964,GSS Female,3,1,140.3
3.62935,GSS Female,3,1,140.77
4.12907,GSS Female,3,1,141.261
4.62878,GSS Female,3,1,141.771
5.1285,GSS Female,3,1,142.302
5.62822,GSS Female,3,1,142.856
6.12793,GSS Female,3,1,143.432
6.62765,GSS Female,3,1,144.032
7.12736,GSS Female,3,1,144.657
7.62708,GSS Female,3,1,145.307
8.12679,GSS Female,3,1,145.985
8.62651,GSS Female,3,1,146.69
9.12622,GSS Female,3,1,147.425
9.62594,GSS Female,3,1,148.19
10.1257,GSS Female,3,1,148.987
10.6254,GSS Female,3,1,149.816
11.1251,GSS Female,3,1,150.68
11.6248,GSS Female,3,1,151.579
12.1245,GSS Female,3,1,152.516
12.6242,GSS Female,3,1,153.491
13.1239,GSS Female,3,1,154.507
13.6237,GSS Female,3,1,155.564
14.1234,GSS Female,3,1,156.666
14.6231,GSS Female,3,1,157.812
15.1228,GSS Female,3,1,159.006
15.6225,GSS Female,3,1,160.25
16.1222,GSS Female,3,1,161.544
16.622,GSS Female,3,1,162.893
17.1217,GSS Female,3,1,164.296
17.6214,GSS Female,3,1,165.758
18.1211,GSS Female,3,1,167.28
18.6208,GSS Female,3,1,168.865
19.1205,GSS Female,3,1,170.515
19.6203,GSS Female,3,1,172.234
20.12,GSS Female,3,1,174.023
20.6197,GSS Female,3,1,175.886
21.1194,GSS Female,3,1,177.826
21.6191,GSS Female,3,1,179.846
22.1188,GSS Female,3,1,181.949
22.6185,GSS Female,3,1,184.138
23.1183,GSS Female,3,1,186.419
23.618,GSS Female,3,1,188.793
24.1177,GSS Female,3,1,191.264
24.6174,GSS Female,3,1,193.838
25.1171,GSS Female,3,1,196.517
25.6168,GSS Female,3,1,199.307
26.1166,GSS Female,3,1,202.212
26.6163,GSS Female,3,1,205.235
27.116,GSS Female,3,1,208.384
